relpicture,recog,correct,irr_1,irr_2,irr_3,irr_4,irr_5,thisN,thisTrialN,thisRepN,KeepInMindRecog_key_resp_1.keys,KeepInMindRecog_key_resp_1.corr,KeepInMindRecog_key_resp_1.rt,KeepInMindRecog_key_resp_1.duration,InMind.thisRepN,InMind.thisTrialN,InMind.thisN,InMind.thisIndex,RSVPList.thisRepN,RSVPList.thisTrialN,RSVPList.thisN,RSVPList.thisIndex,thisRow.t,notes,piloting,welcome.started,welcome_text_1.started,welcome_keyboard_1.started,welcome.stopped,welcome_keyboard_1.keys,welcome_keyboard_1.rt,welcome_keyboard_1.duration,instruction.started,instruction_text_1.started,instruction_keyboard.started,instruction.stopped,instruction_keyboard.keys,instruction_keyboard.rt,instruction_keyboard.duration,shuffle_stim.started,shuffle_stim.stopped,prepare_marker.started,prepare_marker.stopped,KeepInMindSlide.started,KeepInMindSlide_image_1.started,KeepInMindSlide_text_1.started,KeepInMindSlide.stopped,test_stimulus.started,test_stimulus.stopped,fixation.started,fixation_polygon_1.started,fixation.stopped,ISI.started,ISI_polygon_1.started,ISI.stopped,trigger,RSVP_2.started,RSVP_image_1.started,RSVP_2.stopped,KeepInMindRecog.started,KeepInMindRecog_image_1.started,KeepInMindRecog_image_2.started,KeepInMindRecog_image_3.started,KeepInMindRecog_image_4.started,KeepInMindRecog_image_5.started,KeepInMindRecog_image_6.started,KeepInMindRecog_key_resp_1.started,KeepInMindRecog_image_1.stopped,KeepInMindRecog_image_2.stopped,KeepInMindRecog_image_3.stopped,KeepInMindRecog_image_4.stopped,KeepInMindRecog_image_5.stopped,KeepInMindRecog_image_6.stopped,KeepInMindRecog.stopped,InMind.KeepInMindRecog_key_resp_1.keys,InMind.KeepInMindRecog_key_resp_1.corr,InMind.KeepInMindRecog_key_resp_1.rt,InMind.KeepInMindRecog_key_resp_1.duration,judge.started,judge_text_1.started,judge.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,18,0,18,,,,,0,0,0,4,18,0,18,0,18.180628375004744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.15852550001,18.180628375004744,18.258606457995484,202,18.263663666992215,18.273629000002984,18.858530249999603,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,19,0,19,,,,,0,0,0,4,19,0,19,0,18.873553042009007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.85871825000504,18.873553042009007,18.941856749996077,202,18.946220207988517,18.95698008299223,19.541609167004935,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,20,0,20,,,,,0,0,0,4,20,0,20,0,19.55706024999381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.541754542005947,19.55706024999381,19.642122041987022,202,19.64671212498797,19.65700358300819,20.241798125003697,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,21,0,21,,,,,0,0,0,4,21,0,21,0,20.25704870800837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.24201354201068,20.25704870800837,20.325066041987156,202,20.329174082988175,20.340371458005393,20.925034416985,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,22,0,22,,,,,0,0,0,4,22,0,22,0,20.94030566699803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.92521545800264,20.94030566699803,21.025068166985875,202,21.029323291993933,21.040317207982298,21.6084559999872,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,23,0,23,,,,,0,0,0,4,23,0,23,0,21.623593666998204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60872333298903,21.623593666998204,21.70837795798434,202,21.712979707983322,21.723616083007073,22.308429500000784,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,24,0,24,,,,,0,0,0,4,24,0,24,0,22.323685417009983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.308598208008334,22.323685417009983,22.39182262500981,202,22.39624274999369,22.407043791987235,22.991797124996083,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,25,0,25,,,,,0,0,0,4,25,0,25,0,23.007053250010358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.991970667004352,23.007053250010358,23.091758291993756,202,23.09607512500952,23.106985916994745,23.691723458003253,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,26,0,26,,,,,0,0,0,4,26,0,26,0,23.7069478330086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.691854417003924,23.7069478330086,23.77482283298741,202,23.778790541982744,23.790274583006976,24.375184999982594,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,27,0,27,,,,,0,0,0,4,27,0,27,0,24.390288583002985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.375364957988495,24.390288583002985,24.47495487498236,202,24.479366541985655,24.490300042001763,25.058293332986068,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,28,0,28,,,,,0,0,0,4,28,0,28,0,25.073622249998152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0584324169904,25.073622249998152,25.15828762500314,202,25.16220091699506,25.173604624986183,25.75857691699639,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,29,0,29,,,,,0,0,0,4,29,0,29,0,25.77369416700094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75875462498516,25.77369416700094,25.841760999988765,201,25.846454332990106,25.856995832989924,26.442079000000376,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,30,0,30,,,,,0,0,0,4,30,0,30,0,26.45701229199767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.442269833001774,26.45701229199767,26.541690291982377,202,26.54600429200218,26.55693662498379,27.142216832988197,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
